"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"000","Satzkennung","Satzkennung","0","1","0","","","","FA"
"008","Feld mit fester Länge zur physischen Beschreibung - Allgemeine Angaben","Feld mit fester Länge zur physischen Beschreibung - Allgemeine Angaben","0","1","0","","","","FA"
"010","Kontrollnummer der Library of Congress","Kontrollnummer der Library of Congress","0","0","0","","","","FA"
"020","Internationale Standardbuchnummer","Internationale Standardbuchnummer","1","0","0","","","","FA"
"022","Internationale Standardseriennummer","Internationale Standardseriennummer","1","0","0","","","","FA"
"050","Signatur der Library of Congress","Signatur der Library of Congress","1","0","0","","","","FA"
"082","Notation nach der Dewey Decimal Classification","Notation nach der Dewey Decimal Classification","1","0","0","","","","FA"
"090","LOCALLY ASSIGNED LC-TYPE CALL NUMBER (OCLC); LOCAL CALL NUMBER (RLIN)","LOCALLY ASSIGNED LC-TYPE CALL NUMBER (OCLC); LOCAL CALL NUMBER (RLIN)","1","0","0","","","","FA"
"099","LOCAL FREE-TEXT CALL NUMBER (OCLC)","LOCAL FREE-TEXT CALL NUMBER (OCLC)","1","0","0","","","","FA"
"100","Haupteintragung - Personenname","Haupteintragung - Personenname","0","0","0","","","","FA"
"245","Titel","Titel","0","1","0","","","","FA"
"250","Ausgabebezeichnung","Ausgabebezeichnung","1","0","0","","","","FA"
"260","Publikation, Vertrieb usw.","Publikation, Vertrieb usw.","1","0","0","","","","FA"
"300","Physische Beschreibung","Physische Beschreibung","1","0","0","","","","FA"
"500","Allgemeine Fußnote","Allgemeine Fußnote","1","0","0","","","","FA"
"942","Zusätzliche Felder (Koha)","Zusätzliche Felder (Koha)","0","0","0","","","","FA"
"952","Standort- und Exemplarinformationen (KOHA)","Standort- und Exemplarinformationen (KOHA)","1","0","0","","","","FA"
"999","Systemkontrollnummern (Koha)","Systemkontrollnummern (Koha)","1","0","0","","","","FA"

"#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#","#-#"

"tagfield","tagsubfield","liblibrarian","libopac","repeatable","mandatory","important","kohafield","tab","authorised_value","authtypecode","value_builder","isurl","hidden","frameworkcode","seealso","link","defaultvalue","maxlength","display_order"
"000","@","Kontrollfeld mit fester Länge","Kontrollfeld mit fester Länge","0","1","0","","0","","","marc21_leader.pl","0","0","FA","","","","9999","0"
"008","@","Kontrollfeld mit fester Länge","Kontrollfeld mit fester Länge","0","1","0","","0","","","marc21_field_008.pl","0","0","FA","","","","9999","0"
"010","8","Feldverknüpfung und Reihenfolge","Feldverknüpfung und Reihenfolge","1","0","0","","0","","","","0","0","FA","","","","9999","0"
"010","a","LC-Kontrollnummer","LC-Kontrollnummer","0","0","0","biblioitems.lccn","0","","","","0","0","FA","","","","9999","0"
"010","b","NUCMC-Kontrollnummer","NUCMC-Kontrollnummer","1","0","0","","0","","","","0","0","FA","","","","9999","0"
"010","z","Gelöschte/ungültige LC-Kontrollnummer","Gelöschte/ungültige LC-Kontrollnummer","1","0","0","","0","","","","0","0","FA","","","","9999","0"
"020","6","Verknüpfung","Verknüpfung","0","0","0","","0","","","","0","0","FA","","","","9999","0"
"020","8","Feldverknüpfung und Reihenfolge","Feldverknüpfung und Reihenfolge","1","0","0","","0","","","","0","0","FA","","","","9999","0"
"020","a","Internationale Standardbuchnummer","Internationale Standardbuchnummer","0","0","0","biblioitems.isbn","0","","","","0","0","FA","","","","9999","0"
"020","c","Bezugsbedingungen","Bezugsbedingungen","0","0","0","","0","","","","0","0","FA","","","","9999","0"
"020","q","Nähere Angaben","Nähere Angaben","1","0","0","","0","","","","0","0","FA","","","","9999","0"
"020","z","Gelöschte/ungültige ISBN","Gelöschte/ungültige ISBN","1","0","0","","0","","","","0","0","FA","","","","9999","0"
"022","2","Quelle","Quelle","0","0","0","","0","","","","0","0","FA","","","","9999","0"
"022","6","Verknüpfung","Verknüpfung","0","0","0","","0","","","","0","-6","FA","","","","9999","0"
"022","8","Feldverknüpfung und Reihenfolge","Feldverknüpfung und Reihenfolge","1","0","0","","0","","","","0","-6","FA","","","","9999","0"
"022","a","Internationale Standardseriennummer","Internationale Standardseriennummer","0","0","0","biblioitems.issn","0","","","","0","0","FA","","","","9999","0"
"022","l","ISSN-L","ISSN-L","0","0","0","","0","","","","","-6","FA","","","","9999","0"
"022","m","Gelöschte ISSN-L","Gelöschte ISSN-L","1","0","0","","0","","","","","-6","FA","","","","9999","0"
